location_id,location_name,n,exceed_rate,latitude,longitude,nearest_station_id
194,Lanikai Beach Shoreline,191,0.02617801047120419,21.39196,-157.71492,793.1
196,Waimanalo Bay Shoreline,303,0.0297029702970297,21.341957,-157.69987,795.1
197,Waimanalo Beach,1485,0.01818181818181818,21.33246,-157.69342,795.1
198,Waimanalo Surfer's Beach,49,0.0,21.315992,-157.68222,724.21
198,Waimanalo Surfers Beach,6,0.0,21.316214,-157.66702,724.21
200,Sandy Beach Pt. No. 1,1022,0.0029354207436399216,21.285646,-157.67279,724.19
201,Hanauma Beach Park,1527,0.023575638506876228,21.271523,-157.69655,723.4
203,Kahala Hilton Beach,77,0.012987012987012988,21.271208,-157.77368,715
204,Kahala Beach Shoreline,62,0.016129032258064516,21.262922,-157.78375,715
206,KAILUA BAY OUTFALL,61,0.01639344262295082,21.394444,-157.74167,790.11
207,Kalama Beach,182,0.01098901098901099,21.406115,-157.73943,790.11
208,Kualoa Beach,981,0.040774719673802244,21.514212,-157.83614,886.9
212,Nimitz Beach,10,0.0,21.29836,-158.07329,702.7
212,"Nimitz Beach, Barbers Pt.",11,0.0,21.298513,-158.07323,702.7
213,Barbers Point,170,0.0058823529411764705,21.296228,-158.10596,702.5
214,Waialae-Kahala Beach,960,0.04583333333333333,21.269493,-157.77673,715
215,YOKOHAMA BEACH,121,0.01652892561983471,21.556944,-158.25278,841.3
216,Makapuu,106,0.0,21.312021,-157.66052,724.22
218,Chun's Reef,718,0.006963788300835654,21.62155,-158.08203,892.2
218,Chuns Reef,3,0.0,21.62155,-158.08203,892.2
221,Malaekahana,1009,0.013875123885034688,21.66201,-157.92972,903.2
222,Ala Moana Lagoon,978,0.011247443762781187,21.283056,-157.84622,705
224,Pokai Bay,933,0.023579849946409433,21.442669,-158.18945,798
225,Sunset Beach,1114,0.013464991023339317,21.673565,-158.0412,892.2
226,Waimanalo State Park,255,0.03529411764705882,21.34739,-157.70364,795.1
227,Kaiona Beach,124,0.04032258064516129,21.326319,-157.6828,724.21
228,Sans Souci,1258,0.0047694753577106515,21.263554,-157.82204,717.2
229,Hawaii Kai,331,0.06042296072507553,21.28179,-157.71378,723.4
230,Kahana Bay Beach,212,0.21226415094339623,21.555918,-157.8727,886.4
231,Diamond Head Beach - Showers,57,0.017543859649122806,21.255056,-157.80685,717.2
234,Point Panic,63,0.015873015873015872,21.290552,-157.86102,705.12
236,White Plains Beach,416,0.004807692307692308,21.303417,-158.04543,702.7
237,Keehi,82,0.17073170731707318,21.33014,-157.8969,770
238,"Moana Beach, Waikiki",835,0.017964071856287425,21.276657,-157.8279,717.2
239,Tongg's,63,0.031746031746031744,21.258831,-157.81923,717.2
240,Kawaikui Beach Park,80,0.0875,21.278765,-157.7448,723.8
246,Laniakea,85,0.0,21.619097,-158.08543,892.2
247,Haleiwa Ali'I Beach Park,18,0.05555555555555555,21.594357,-158.10799,847
249,Maipalaoa Beach,47,0.02127659574468085,21.404692,-158.17773,798
253,Kokololio,45,0.022222222222222223,21.625172,-157.91971,904.1
255,Kaluahole Beach,54,0.018518518518518517,21.257607,-157.81754,717.2
256,Outrigger,58,0.0,21.262121,-157.82153,717.2
257,Halona Cove,56,0.03571428571428571,21.281542,-157.67773,724.19
260,Laenani Park,44,0.13636363636363635,21.459356,-157.8321,837.6
262,Pounders,26,0.07692307692307693,21.631615,-157.92085,903.1
265,Pupukea at Shark's Cove,22,0.0,21.646082,-158.06372,892.2
266,Ehukai,23,0.0,21.66555,-158.05116,892.2
275,Kaalawai Beach,83,0.13253012048192772,21.257153,-157.7969,715
276,Kahala at Kala Place,50,0.0,21.26135,-157.7867,715
277,Paiko Beach,47,0.10638297872340426,21.281206,-157.72807,723.4
279,Maunalua Beach Park,21,0.047619047619047616,21.283009,-157.71637,723.4
280,Wawamalu Beach,55,0.0,21.290878,-157.66342,724.19
289,Pipeline,25,0.0,21.664467,-158.05252,892.2
305,Sand Island Pt. No 6,214,0.004672897196261682,21.30116,-157.87823,705.12
307,Kapiolani Park,58,0.034482758620689655,21.269917,-157.82285,717.2
320,ALA MOANA BRIDGE,377,0.4827586206896552,21.290833,-157.84334,707.5
321,MCCULLY STREET BRIDGE,244,0.5901639344262295,21.29139,-157.83556,707.5
342,KEEHI LAGOON POINT X,352,0.17897727272727273,21.334167,-157.8964,770
402,KANEOHE BAY (NORTHERN REGION),64,0.046875,21.49639,-157.83333,837.11
441,MAMALA BAY (SAND ISLAND OFF SHORE),50,0.06,21.2875,-157.89806,705.12
